dcterms:media,dcterms:subject,Expected
A-1_Arquin_001_0002.jpg,"water gates, arch bridges, canals (waterways)",3
A-1_Arquin_001_0003.jpg,"water gates, arch bridges, canals (waterways)",3
A-1_Arquin_001_0004.jpg,"water gates, arch bridges, canals (waterways)",3
A-1_Arquin_001_0005.jpg,"water gates, arch bridges, canals (waterways)",3
A-1_Arquin_001_0006.jpg,"water gates, arch bridges, canals (waterways), windmills",4
A-1_Arquin_001_0007.jpg,"water gates, arch bridges, canals (waterways), windmills",4
A-1_Arquin_001_0008.jpg,"water gates, arch bridges, canals (waterways)",3
A-1_Arquin_001_0009.jpg,"streets, city gate",2
A-1_Arquin_001_0010.jpg,"streets, houses",2
A-1_Arquin_001_0011.jpg,"streets, houses",2
A-1_Arquin_001_0012.jpg,"streets, houses",2
A-1_Arquin_001_0013.jpg,"streets, houses",2
A-1_Arquin_001_0014.jpg,"streets, cafés (restaurants) ",2
A-1_Arquin_001_0015.jpg,"streets, houses",2
A-1_Arquin_001_0016.jpg,"streets, houses, columns, statue, lion's head (motif)",5
A-1_Arquin_001_0017.jpg,"streets, houses, columns, statue, lion's head (motif)",5
A-1_Arquin_001_0018.jpg,"art museums (institutions), streets, palaces, façades, vines",5
A-1_Arquin_001_0019.jpg,"museums (institutions), streets, palaces, façades, vinesart",5
A-1_Arquin_001_0022.jpg,"arch bridges, footbridge, canals (waterways)",3
A-1_Arquin_001_0023.jpg,"arch bridges, footbridge",2
A-1_Arquin_001_0024.jpg,"arch bridges, footbridge",2
A-1_Arquin_001_0025.jpg,"arch bridges, facade sculptures",2
A-1_Arquin_001_0026.jpg,architecture (object genre),1
A-1_Arquin_001_0027.jpg,facade sculptures,1
A-1_Arquin_001_0028.jpg,facade sculptures,1
A-1_Arquin_001_0029.jpg,"canals (waterways), hospital churches",2
A-1_Arquin_001_0030.jpg,"hospitals (institutions for pilgrims), hospital churches",2
A-1_Arquin_001_0031.jpg,"hospitals (institutions for pilgrims), hospital churches",2
A-1_Arquin_001_0032.jpg,"hospitals (institutions for pilgrims), hospital churches",2
A-1_Arquin_001_0033.jpg,"hospitals (institutions for pilgrims), hospital churches",2
A-1_Arquin_001_0034.jpg,"streets, statue",2
A-1_Arquin_001_0035.jpg,"streets, façades, streets, hotel (public accommodation), cafés (restaurants) ",5
A-1_Arquin_001_0036.jpg,"streets, buildings (structures)",2
A-1_Arquin_001_0037.jpg,"streets, buildings (structures), pedestrians",3
A-1_Arquin_001_0038.jpg,"streets, pedestrians, parking (area), plazas (squares), squares (open spaces)",5
A-1_Arquin_001_0039.jpg,"streets, pedestrians, parking (area), plazas (squares), squares (open spaces)",5
A-1_Arquin_001_0040.jpg,"streets, pedestrians, parking (area), plazas (squares), squares (open spaces)",5
A-1_Arquin_001_0041.jpg,"streets, pedestrians, parking (area), plazas (squares), government buildings",5
A-1_Arquin_001_0042.jpg,"streets, pedestrians, parking (area), plazas (squares), government buildings",5
A-1_Arquin_001_0043.jpg,"statues, parking (area), plazas (squares), government buildings",4
A-1_Arquin_001_0044.jpg,"statues, parking (area), plazas (squares), government buildings",4
A-1_Arquin_001_0045.jpg,"statues, parking (area), plazas (squares), government buildings",4
A-1_Arquin_001_0046.jpg,"marketplaces, groups of people, plazas (squares), government buildings",4
A-1_Arquin_001_0047.jpg,"marketplaces, groups of people, plazas (squares), government buildings",4
A-1_Arquin_001_0048.jpg,"marketplaces, groups of people, plazas (squares)",3
A-1_Arquin_001_0049.jpg,"marketplaces, groups of people, plazas (squares)",3
A-1_Arquin_001_0050.jpg,"marketplaces, groups of people, plazas (squares), cafés (restaurants)",4
A-1_Arquin_001_0051.jpg,"marketplaces, groups of people, plazas (squares), cafés (restaurants)",4
A-1_Arquin_001_0052.jpg,"government buildings, palace, parking (area), plazas (squares)",4
A-1_Arquin_001_0053.jpg,"government buildings, palace, parking (area), plazas (squares)",4
A-1_Arquin_001_0054.jpg,"belfries (spaces), government buildings, palace",3
A-1_Arquin_001_0055.jpg,"government buildings, palace, entrance",3
A-1_Arquin_001_0056.jpg,"belfries (spaces), government buildings, palace",3
A-1_Arquin_001_0057.jpg,"government buildings, palace, entrance, details (components)",4
A-1_Arquin_001_0058.jpg,"architectural ornament, government buildings, palace,",4
A-1_Arquin_001_0059.jpg,"architectural ornament, government buildings, palace, entrance, details (components)",5
A-1_Arquin_001_0060.jpg,"architectural ornament, government buildings, palace, entrance, details (components)",5
A-1_Arquin_001_0061.jpg,"architectural ornament, government buildings, palace, entrance, details (components)",5
A-1_Arquin_001_0062.jpg,"belfries (spaces), clock towers (towers), streets",3
A-1_Arquin_001_0063.jpg,"belfries (spaces), clock towers (towers), streets",3
A-1_Arquin_001_0064.jpg,"belfries (spaces), clock towers (towers), streets",3
A-1_Arquin_001_0065.jpg,"belfries (spaces), clock towers (towers), streets",3
A-1_Arquin_001_0066.jpg,"belfries (spaces), clock towers (towers), streets",3
A-1_Arquin_001_0067.jpg,"belfries (spaces), clock towers (towers), streets",3
A-1_Arquin_001_0068.jpg,"belfries (spaces), clock towers (towers), streets",3
A-1_Arquin_001_0069.jpg,"belfries (spaces), clock towers (towers), streets",3
A-1_Arquin_001_0070.jpg,"belfries (spaces), clock towers (towers), streets",3
A-1_Arquin_001_0071.jpg,"belfries (spaces), clock towers (towers), streets",3
A-1_Arquin_001_0072.jpg,"belfries (spaces), clock towers (towers), streets",3
A-1_Arquin_001_0073.jpg,"streets, buildings (structures)",2
A-1_Arquin_001_0074.jpg,"streets, buildings (structures)",2
A-1_Arquin_001_0075.jpg,"streets, buildings (structures)",2
A-1_Arquin_001_0076.jpg,"government buildings, facades",2
A-1_Arquin_001_0077.jpg,"government buildings, facades",2
A-1_Arquin_001_0078.jpg,"government buildings, facades",2
A-1_Arquin_001_0079.jpg,"government buildings, facades",2
A-1_Arquin_001_0080.jpg,"government buildings, facades, details (components)",3
A-1_Arquin_001_0081.jpg,"government buildings, facades, details (components)",3
A-1_Arquin_001_0082.jpg,"government buildings, facades, details (components)",3
A-1_Arquin_001_0083.jpg,"government buildings, facades",2
A-1_Arquin_001_0084.jpg,"government buildings, facades",2
A-1_Arquin_001_0085.jpg,"government buildings, facades",2
A-1_Arquin_001_0086.jpg,"government buildings, facades",2
A-1_Arquin_001_0087.jpg,"government buildings, facades",2
A-1_Arquin_001_0088.jpg,"government buildings, facades",2
A-1_Arquin_001_0089.jpg,"government buildings, facades",2
A-1_Arquin_001_0090.jpg,"government buildings, facades",2
A-1_Arquin_001_0091.jpg,"government buildings, facades",2
A-1_Arquin_001_0092.jpg,"government buildings, facades, details (components)",3
A-1_Arquin_001_0093.jpg,"government buildings, facades, details (components)",3
A-1_Arquin_001_0094.jpg,"government buildings, facades, details (components)",3
A-1_Arquin_001_0095.jpg,"government buildings, facades, details (components)",3
A-1_Arquin_001_0096.jpg,"government buildings, facades, details (components)",3
A-1_Arquin_001_0097.jpg,"streets, houses, museum",3
A-1_Arquin_001_0098.jpg,"arch bridges, canals (waterways)",2
A-1_Arquin_001_0099.jpg,"arch bridges, canals (waterways)",2
A-1_Arquin_001_0100.jpg,"streets, statue, square (open space)",3
A-1_Arquin_001_0101.jpg,"streets, buildings (structures)",2
A-1_Arquin_001_0102.jpg,"streets, buildings (structures)",2
A-1_Arquin_001_0103.jpg,"streets, buildings (structures), details (components)",3
A-1_Arquin_001_0104.jpg,"streets, buildings (structures), details (components)",3
A-1_Arquin_001_0105.jpg,"streets, buildings (structures), details (components)",3
A-1_Arquin_001_0107.jpg,"arch bridges, canals (waterways), convents (built complexes)",3
A-1_Arquin_001_0110.jpg,"arch bridges, canals (waterways), convents (built complexes), béguinages",4
A-1_Arquin_001_0111.jpg,"arch bridges, canals (waterways), convents (built complexes), béguinages",4
A-1_Arquin_001_0112.jpg,"arch bridges, canals (waterways), convents (built complexes), béguinages",4
A-1_Arquin_001_0113.jpg,"convents (built complexes), béguinages, base-courts",3
A-1_Arquin_001_0114.jpg,"convents (built complexes), béguinages, base-courts",3
A-1_Arquin_001_0115.jpg,"convents (built complexes), béguinages",2
A-1_Arquin_001_0122.jpg,"streets, buildings (structures), groups of people",3
A-1_Arquin_001_0128.jpg,"arch bridges, canals (waterways), groups of people, buildings (structures)",4
A-1_Arquin_001_0129.jpg,"arch bridges, canals (waterways), buildings (structures)",3
A-1_Arquin_001_0130.jpg,"arch bridges, canals (waterways), gondolas (flat-bottomed watercraft), groups of people",4
A-1_Arquin_001_0131.jpg,"arch bridges, canals (waterways), buildings (structures)",3
A-1_Arquin_001_0132.jpg,"canals (waterways), buildings (structures)",2
A-1_Arquin_001_0133.jpg,"canals (waterways), buildings (structures)",2
A-1_Arquin_001_0134.jpg,"canals (waterways), buildings (structures)",2
A-1_Arquin_001_0135.jpg,"canals (waterways), buildings (structures)",2
A-1_Arquin_001_0136.jpg,"canals (waterways), buildings (structures)",2
A-1_Arquin_001_0137.jpg,"canals (waterways), buildings (structures)",2
A-1_Arquin_001_0138.jpg,"canals (waterways), buildings (structures)",2
A-1_Arquin_001_0139.jpg,"canals (waterways), buildings (structures)",2
A-1_Arquin_001_0140.jpg,"canals (waterways), buildings (structures)",2
A-1_Arquin_001_0141.jpg,"canals (waterways), buildings (structures)",2
A-1_Arquin_001_0142.jpg,"churches (buildings), church towers",2
A-1_Arquin_001_0143.jpg,"churches (buildings), church towers",2
A-1_Arquin_001_0144.jpg,"churches (buildings), church towers",2
A-1_Arquin_001_0145.jpg,"churches (buildings), church towers",2
A-1_Arquin_001_0146.jpg,"churches (buildings), church towers",2
A-1_Arquin_001_0147.jpg,"churches (buildings), church towers",2
A-1_Arquin_001_0148.jpg,"churches (buildings), church towers",2
A-1_Arquin_001_0149.jpg,"churches (buildings), church towers",2
A-1_Arquin_001_0150.jpg,"churches (buildings), church towers",2
A-1_Arquin_001_0151.jpg,"churches (buildings), church towers",2
A-1_Arquin_001_0152.jpg,"churches (buildings), church towers",2
A-1_Arquin_001_0153.jpg,churches (buildings),1
A-1_Arquin_001_0154.jpg,churches (buildings),1
A-1_Arquin_001_0155.jpg,churches (buildings),1
A-1_Arquin_001_0156.jpg,churches (buildings),1
A-1_Arquin_001_0157.jpg,churches (buildings),1
A-1_Arquin_001_0158.jpg,churches (buildings),1
A-1_Arquin_001_0159.jpg,churches (buildings),1
A-1_Arquin_001_0160.jpg,churches (buildings),1
A-1_Arquin_001_0161.jpg,churches (buildings),1
A-1_Arquin_001_0162.jpg,churches (buildings),1
A-1_Arquin_001_0164.jpg,"streets, buildings (structures)",2
A-1_Arquin_001_0165.jpg,"streets, buildings (structures)",2
A-1_Arquin_001_0166.jpg,"streets, buildings (structures)",2
A-1_Arquin_001_0167.jpg,"streets, buildings (structures)",2
A-1_Arquin_001_0168.jpg,"streets, buildings (structures)",2
A-1_Arquin_001_0169.jpg,"streets, buildings (structures)",2
A-1_Arquin_001_0170.jpg,"streets, buildings (structures)",2
A-1_Arquin_001_0171.jpg,"streets, buildings (structures)",2
A-1_Arquin_001_0172.jpg,zoos (institutions),1
A-1_Arquin_001_0181.jpg,zoos (institutions),1
A-1_Arquin_001_0184.jpg,"hotels (built public accommodations), street",2
A-1_Arquin_001_0185.jpg,"trams (transit vehicles), streets, buildings (structures)",3
A-1_Arquin_001_0186.jpg,"trams (transit vehicles), streets, buildings (structures)",3
